,K-O,Hi-Lo,Hi-Opt I,Hi-Opt II,Knock-Out,KISS,Zen,Omega II,Red 7,Wizard Ace,Halves,No Strategy
1950,50.491,50.106,50.4236,50.3405,50.1214,50.0811,50.3067,50.3233,50.3592,50.078,50.0322,50.642
1951,50.4889,50.1074,50.4224,50.3417,50.1246,50.082,50.3037,50.3227,50.3549,50.0738,50.0261,50.6445
1952,50.4877,50.1101,50.4245,50.3397,50.1194,50.0875,50.3059,50.3225,50.3589,50.0686,50.0345,50.6507
1953,50.4949,50.1175,50.4257,50.3395,50.1147,50.0866,50.3053,50.3275,50.3578,50.069,50.0247,50.6602
1954,50.5039,50.1203,50.4213,50.3314,50.104,50.0907,50.3205,50.3338,50.3618,50.0676,50.0335,50.6608
1955,50.499,50.1197,50.4253,50.3247,50.1034,50.0898,50.3287,50.3416,50.349,50.0708,50.0237,50.6595
1956,50.4997,50.122,50.4302,50.3218,50.1039,50.1042,50.3239,50.3437,50.3563,50.0629,50.0219,50.6652
1957,50.5008,50.1284,50.4355,50.3286,50.1033,50.1032,50.3181,50.3366,50.3561,50.0554,50.0293,50.6588
1958,50.5061,50.1386,50.4344,50.3312,50.107,50.1036,50.3114,50.328,50.3503,50.0526,50.0283,50.6627
1959,50.5082,50.1409,50.436,50.325,50.1092,50.1129,50.3178,50.3293,50.3488,50.0567,50.0149,50.6651
1960,50.5098,50.1478,50.44,50.3294,50.0944,50.1147,50.3264,50.3221,50.3421,50.0558,50.0121,50.6713
1961,50.5104,50.1421,50.4398,50.3321,50.0957,50.1207,50.3198,50.315,50.3382,50.0502,50.0186,50.6836
1962,50.5116,50.1369,50.4284,50.3398,50.0934,50.123,50.3182,50.3181,50.3473,50.059,50.0181,50.6823
1963,50.5145,50.1336,50.4277,50.3364,50.0887,50.1257,50.3088,50.3175,50.3476,50.052,50.0181,50.6871
1964,50.5207,50.1442,50.4372,50.3325,50.0845,50.1224,50.3096,50.3169,50.3511,50.0529,50.0218,50.6807
1965,50.5279,50.1441,50.4268,50.3434,50.0821,50.1284,50.2978,50.3116,50.3528,50.0477,50.0176,50.6813
1966,50.5253,50.138,50.4266,50.3432,50.0853,50.1302,50.3028,50.311,50.3499,50.0468,50.0116,50.6772
